country_code,country,membership,group1,group2
AS,American Samoa,Full member,American Samoa,Territory
AU,Australia,Full member,FFA Other,FFA
BZ,Belize,Cooperating non-member,Belize,Belize
CA,Canada,Full member,Canada,Canada
CK,Cook Islands,Full member,FFA SPG,FFA
CN,China,Full member,China,China
ES,Spain (EC),Full member,Spain (EC),Spain (EC)
EU,European Union (EU),Full member,European Union (EU),European Union (EU)
FJ,Fiji,Full member,FFA SPG,FFA
FM,FSM,Full member,FFA PNA,FFA
HB,Howland and Baker,Full member,Howland and Baker,Howland and Baker
HS,High seas,Full member,High seas,High seas
ID,Indonesia,Full member,Indonesia,Indonesia
IW,International waters,Full member,International waters,International waters
JP,Japan,Full member,Japan,Japan
JV,Jarvis (USA),Full member,Jarvis (USA),Jarvis (USA)
KH,Cambodia,Non-member,Cambodia,Cambodia
KI,Kiribati,Full member,FFA PNA,FFA
KP,North Korea,Non-member,North Korea,North Korea
KR,Republic of Korea,Full member,Republic of Korea,Republic of Korea
MA,Matthew and Hunter,Full member,New Caledonia,New Caledonia
MH,Marshall Islands,Full member,FFA PNA,FFA
MP,Northern Mariana Islands,Full member,Northern Mariana Islands,Northern Mariana Islands
MY,Malaysia,Non-member,Malaysia,Malaysia
NC,New Caledonia,Full member,New Caledonia,New Caledonia
NR,Nauru,Full member,FFA PNA,FFA
NU,Niue,Full member,FFA SPG,FFA
NZ,New Zealand,Full member,FFA Other,FFA
PF,French Polynesia,Full member,French Polynesia,French Polynesia
PG,PNG,Full member,FFA PNA,FFA
PH,Philippines,Full member,Philippines,Philippines
PN,Pitcairn Islands,Full member,Pitcairn Islands,Pitcairn Islands
PT,Portugal (EC),Full member,Portugal (EC),Portugal (EC)
PW,Palau,Full member,FFA PNA,FFA
SB,Solomon Islands,Full member,FFA PNA,FFA
SG,Singapore,Non-member,Singapore,Singapore
SN,Senegal ,Non-member,Senegal ,Senegal 
TH,Thailand,Non-member,Thailand,Thailand
TK,Tokelau,Full member,FFA Other,FFA
TL,East Timor,Non-member,East Timor,East Timor
TO,Tonga,Full member,FFA SPG,FFA
TV,Tuvalu,Full member,FFA PNA,FFA
TW,Chinese Taipei,Full member,Chinese Taipei,Chinese Taipei
US,USA,Full member,USA,USA
VN,Vietnam,Cooperating non-member,Vietnam,Vietnam
VU,Vanuatu,Full member,FFA PNA,FFA
WF,Wallis and Futuna,Full member,Wallis and Futuna,Wallis and Futuna
WS,Samoa,Full member,FFA SPG,FFA
